,time_period,index,Rank_F6M
2143,2004_2,2004_2_163kzq4t,338
2144,2004_2,2004_2_jxnlkoks,292
2145,2004_2,2004_2_u15v238o,124
2146,2004_2,2004_2_cuayjuox,10
2147,2004_2,2004_2_gh5x0trp,369
2148,2004_2,2004_2_hjtvrqky,309
2149,2004_2,2004_2_6sj6n9ra,250
2150,2004_2,2004_2_z4n52uzj,55
2151,2004_2,2004_2_tfr7p2r1,64
2152,2004_2,2004_2_0ov1gk9q,106
2153,2004_2,2004_2_jfnc54xs,361
2154,2004_2,2004_2_73tivo4h,92
2155,2004_2,2004_2_qzoz8wfq,333
2156,2004_2,2004_2_v8v90ybu,362
2157,2004_2,2004_2_ds6vutcc,76
2158,2004_2,2004_2_xehta4wn,140
2159,2004_2,2004_2_7itccljr,335
2160,2004_2,2004_2_fu12p7h8,191
2161,2004_2,2004_2_ojigm3xh,161
2162,2004_2,2004_2_pzhir3e4,40
2163,2004_2,2004_2_hmwirnu1,183
2164,2004_2,2004_2_0bt7gwv2,91
2165,2004_2,2004_2_tsijeibl,118
2166,2004_2,2004_2_u9lf4qqi,320
2167,2004_2,2004_2_oe3d3p23,114
2168,2004_2,2004_2_1zibyz20,99
2169,2004_2,2004_2_bn4vfi06,223
2170,2004_2,2004_2_s884opoj,29
2171,2004_2,2004_2_st4mkt2f,110
2172,2004_2,2004_2_9di45t6d,295
2173,2004_2,2004_2_o9lbbv4a,302
2174,2004_2,2004_2_4dog5a1r,212
2175,2004_2,2004_2_5j6rmox0,281
2176,2004_2,2004_2_7xysor1g,329
2177,2004_2,2004_2_abeaymue,282
2178,2004_2,2004_2_lvvtu334,337
2179,2004_2,2004_2_njj4515r,174
2180,2004_2,2004_2_g7zle2gi,62
2181,2004_2,2004_2_h7ff95h6,6
2182,2004_2,2004_2_ak22tn08,193
2183,2004_2,2004_2_2rhtj34a,263
2184,2004_2,2004_2_yma7l9z4,283
2185,2004_2,2004_2_fl7dpdmv,236
2186,2004_2,2004_2_zmvvgtex,266
2187,2004_2,2004_2_12lv9a2p,45
2188,2004_2,2004_2_e64ptnwy,131
2189,2004_2,2004_2_o7sb9sgd,270
2190,2004_2,2004_2_e1k75puw,326
2191,2004_2,2004_2_iiv0vpd0,299
2192,2004_2,2004_2_yp5ca8oz,172
2193,2004_2,2004_2_h4fvwjpz,190
2194,2004_2,2004_2_v4jvtn72,178
2195,2004_2,2004_2_mx9wt4d1,128
2196,2004_2,2004_2_vv71su8a,77
2197,2004_2,2004_2_4dg4axxu,109
2198,2004_2,2004_2_go1sal6e,117
2199,2004_2,2004_2_w9ooihjj,276
2200,2004_2,2004_2_gwtzrxaa,173
2201,2004_2,2004_2_rjg7kk77,17
2202,2004_2,2004_2_0ll1u9wk,271
2203,2004_2,2004_2_52x7p2xi,43
2204,2004_2,2004_2_8ifw0nyh,112
2205,2004_2,2004_2_jfqxwb5c,130
2206,2004_2,2004_2_x4qnb68g,184
2207,2004_2,2004_2_76bexc6k,203
2208,2004_2,2004_2_o3sati66,156
2209,2004_2,2004_2_laz8r7xk,132
2210,2004_2,2004_2_q4zplxdf,204
2211,2004_2,2004_2_an0kbi87,318
2212,2004_2,2004_2_u910c4ch,251
2213,2004_2,2004_2_j1oxr38r,67
2214,2004_2,2004_2_2ku0b2xt,44
2215,2004_2,2004_2_qwhqqiu2,237
2216,2004_2,2004_2_ui7joq07,293
2217,2004_2,2004_2_kwjt2xnj,253
2218,2004_2,2004_2_3179j1uz,53
2219,2004_2,2004_2_d1is7did,63
2220,2004_2,2004_2_akgl81wo,242
2221,2004_2,2004_2_mak1qsw1,88
2222,2004_2,2004_2_t3h8j47k,84
2223,2004_2,2004_2_e91oxepk,216
2224,2004_2,2004_2_69wq160i,96
2225,2004_2,2004_2_5dbkn0z6,313
2226,2004_2,2004_2_t78hotzw,181
2227,2004_2,2004_2_0qbobdue,365
2228,2004_2,2004_2_6rngh630,70
2229,2004_2,2004_2_f23wnf9b,34
2230,2004_2,2004_2_89luatky,336
2231,2004_2,2004_2_5dkxh58t,186
2232,2004_2,2004_2_uemla5vl,35
2233,2004_2,2004_2_awc7cub6,305
2234,2004_2,2004_2_j51mg2dd,160
2235,2005_1,2005_1_z0b2idjh,290
2236,2005_1,2005_1_jleoehb0,213
2237,2005_1,2005_1_9tfvawfd,59
2238,2005_1,2005_1_fcobt8fw,259
2239,2005_1,2005_1_ot5l64o1,241
2240,2005_1,2005_1_26rpgota,102
2241,2005_1,2005_1_muxuj6pz,58
2242,2005_1,2005_1_82cm602a,73
2243,2005_1,2005_1_y6mr1oda,332
2244,2005_1,2005_1_v2cglo0k,225
2245,2005_1,2005_1_3honcl2f,190
2246,2005_1,2005_1_94v8dn01,90
2247,2005_1,2005_1_rzvjgmtc,366
2248,2005_1,2005_1_s7s40xt6,180
2249,2005_1,2005_1_bqpeijie,52
2250,2005_1,2005_1_9c17k9id,246
2251,2005_1,2005_1_vwxigqqx,207
2252,2005_1,2005_1_hx2j7130,148
2253,2005_1,2005_1_aem0l5ye,92
2254,2005_1,2005_1_qpcqf8ii,177
2255,2005_1,2005_1_x24bmyrw,42
2256,2005_1,2005_1_8hktik7k,23
2257,2005_1,2005_1_l3owxdwe,85
2258,2005_1,2005_1_rrd5cyk4,54
2259,2005_1,2005_1_p85oyoy2,339
2260,2005_1,2005_1_w2wkilzp,41
2261,2005_1,2005_1_s5hsxjkd,132
2262,2005_1,2005_1_yt0ou2v7,78
2263,2005_1,2005_1_iml0kuif,237
2264,2005_1,2005_1_3tysrynm,12
2265,2005_1,2005_1_r0fps9l3,281
2266,2005_1,2005_1_0nx29qpz,117
2267,2005_1,2005_1_34uzlxmp,166
2268,2005_1,2005_1_2ariojym,107
2269,2005_1,2005_1_g7fzcdwi,278
2270,2005_1,2005_1_7eqzhqk3,115
2271,2005_1,2005_1_3g967a2q,123
2272,2005_1,2005_1_0hmmm60u,236
2273,2005_1,2005_1_ugntz0kf,357
2274,2005_1,2005_1_bz94kkij,143
2275,2005_1,2005_1_i84tt3lo,19
2276,2005_1,2005_1_5pw3hz41,209
2277,2005_1,2005_1_kpwn3not,368
2278,2005_1,2005_1_seiyilpj,268
2279,2005_1,2005_1_mwaju2rl,45
2280,2005_1,2005_1_ng3kxsus,253
2281,2005_1,2005_1_3s76jsva,247
2282,2005_1,2005_1_z3xq0ba9,108
2283,2005_1,2005_1_gpuc7bwv,5
2284,2005_1,2005_1_2rw9kmsv,324
2285,2005_1,2005_1_uo6o23kh,124
2286,2005_1,2005_1_c19y6vtg,69
2287,2005_1,2005_1_0f259qju,94
2288,2005_1,2005_1_3lssgha9,365
2289,2005_1,2005_1_ws4928ou,87
2290,2005_1,2005_1_ow0pfe3g,226
2291,2005_1,2005_1_3ktu7qia,27
2292,2005_1,2005_1_ogbiebrz,104
2293,2005_1,2005_1_8qlpuc4r,53
2294,2005_1,2005_1_oqkgtejc,151
2295,2005_1,2005_1_uioesbxr,24
2296,2005_1,2005_1_6ssni0fm,83
2297,2005_1,2005_1_5imdulec,231
2298,2005_1,2005_1_yg8is70y,355
2299,2005_1,2005_1_ifmx9owd,145
2300,2005_1,2005_1_k3gz5wiu,267
2301,2005_1,2005_1_a4raj52r,201
2302,2005_1,2005_1_3lhrb09v,3
2303,2005_1,2005_1_n62etdea,103
2304,2005_1,2005_1_wan68s4f,141
2305,2005_1,2005_1_bltdc57f,230
2306,2005_1,2005_1_1oeh1xf8,111
2307,2005_1,2005_1_rb1dqv89,15
2308,2005_1,2005_1_c8mpegjb,245
2309,2005_1,2005_1_0xrv4sqg,243
2310,2005_1,2005_1_0qzntcxw,299
2311,2005_1,2005_1_efszvbmf,222
2312,2005_1,2005_1_hw0g1uru,81
2313,2005_1,2005_1_z9tdbudn,358
2314,2005_1,2005_1_rk8mtj0k,306
2315,2005_1,2005_1_taomcq9d,173
2316,2005_1,2005_1_1ymqr6yl,182
2317,2005_1,2005_1_4hbwfebs,130
2318,2005_1,2005_1_vnvvwl6e,189
2319,2005_1,2005_1_nexszzp0,153
2320,2005_1,2005_1_be508v3p,317
2321,2005_1,2005_1_6oia63mk,302
2322,2005_1,2005_1_ymoc4ecn,84
2323,2005_1,2005_1_r54yr0ni,37
2324,2005_1,2005_1_4pf3wg4b,257
2325,2005_1,2005_1_mpbh166f,287
2326,2005_1,2005_1_xhm64mjt,331
2327,2005_1,2005_1_29ib9upz,174
2328,2005_1,2005_1_wacmaegv,11
2329,2005_1,2005_1_dfva4jsu,64
2330,2005_1,2005_1_gyblenue,125
2331,2005_1,2005_1_pvvzhv8h,341
2332,2005_1,2005_1_quyqbgoz,274
2333,2005_1,2005_1_3oj7bfei,334
2334,2005_1,2005_1_blkaa0xx,157
2335,2005_1,2005_1_4cxjcbep,265
2336,2005_1,2005_1_v4qy7ats,170
2337,2005_1,2005_1_r6vlyofc,63
2338,2005_1,2005_1_nihas5dm,303
2339,2005_1,2005_1_wa9103od,121
2340,2005_1,2005_1_g4vc9om4,75
2341,2005_1,2005_1_qnedsm8r,348
2342,2005_1,2005_1_qqvawirn,129
2343,2005_1,2005_1_fat2qepy,44
2344,2005_1,2005_1_2t079993,353
2345,2005_1,2005_1_k3xdo2t3,263
2346,2005_1,2005_1_crt9n831,179
2347,2005_1,2005_1_ix011l5u,175
2348,2005_1,2005_1_ib0vs50c,276
2349,2005_1,2005_1_qnmti5v6,146
2350,2005_1,2005_1_qd1kw27b,360
2351,2005_1,2005_1_rpjbq2xp,20
2352,2005_1,2005_1_fytvdvhj,215
2353,2005_1,2005_1_x8la0w5o,301
2354,2005_1,2005_1_qi9nws70,57
2355,2005_1,2005_1_47iigppr,66
2356,2005_1,2005_1_0brcodnn,110
2357,2005_1,2005_1_sq5s71mv,342
2358,2005_1,2005_1_7hd60nw8,346
2359,2005_1,2005_1_vej8jgve,304
2360,2005_1,2005_1_nqywdufn,91
2361,2005_1,2005_1_7vt10k8v,362
2362,2005_1,2005_1_eyxxkvf3,199
2363,2005_1,2005_1_bkxdxvpn,40
2364,2005_1,2005_1_pcyve5xi,74
2365,2005_1,2005_1_ub6ts1uw,322
2366,2005_1,2005_1_utgp8cn3,285
2367,2005_1,2005_1_hbb15z1c,139
2368,2005_1,2005_1_lxxldn8z,118
2369,2005_1,2005_1_hxh7xx6h,2
2370,2005_1,2005_1_wpxvivze,288
2371,2005_1,2005_1_s0udoz8u,351
2372,2005_1,2005_1_sl0w2hrc,86
2373,2005_1,2005_1_f4nyabl2,56
2374,2005_1,2005_1_atoavv3z,106
2375,2005_1,2005_1_hev9xqtg,283
2376,2005_1,2005_1_2ouomd4x,200
2377,2005_1,2005_1_i87zly9y,113
2378,2005_1,2005_1_l8y8geby,350
2379,2005_1,2005_1_n5k8f50h,214
2380,2005_1,2005_1_dc311k92,97
2381,2005_1,2005_1_xr4bg4vv,254
2382,2005_1,2005_1_txpxdors,250
2383,2005_1,2005_1_wth113sw,10
2384,2005_1,2005_1_qfhi17wx,197
2385,2005_1,2005_1_4pbta2ra,204
2386,2005_1,2005_1_yoxpuym7,68
2387,2005_1,2005_1_gwzs9gyy,244
2388,2005_1,2005_1_qgd6i6ct,14
2389,2005_1,2005_1_977umf0q,191
2390,2005_1,2005_1_nvffn3g8,248
2391,2005_1,2005_1_4jbitbud,295
2392,2005_1,2005_1_1sks2pbb,328
2393,2005_1,2005_1_doghs7kt,77
2394,2005_1,2005_1_mc5d7pk1,320
2395,2005_1,2005_1_4ubiln1r,154
2396,2005_1,2005_1_2v8q9zv4,367
2397,2005_1,2005_1_aqfqzp45,95
2398,2005_1,2005_1_odrzfes3,17
2399,2005_1,2005_1_bja45u83,316
2400,2005_1,2005_1_2tws2kg0,240
2401,2005_1,2005_1_smdsvttd,100
2402,2005_1,2005_1_dln98w4a,55
2403,2005_1,2005_1_1mema2q4,18
2404,2005_1,2005_1_g7meouzy,327
2405,2005_1,2005_1_d97shwu2,165
2406,2005_1,2005_1_lkmqtrit,140
2407,2005_1,2005_1_ti9fkvfm,156
2408,2005_1,2005_1_exusdtur,169
2409,2005_1,2005_1_smkz4upr,159
2410,2005_1,2005_1_vp60rf2q,264
2411,2005_1,2005_1_u4gno46q,144
2412,2005_1,2005_1_vjly76lw,71
2413,2005_1,2005_1_imjeavaf,194
2414,2005_1,2005_1_kmczgjie,79
2415,2005_1,2005_1_04f6uu5e,232
2416,2005_1,2005_1_rkshg5pa,119
2417,2005_1,2005_1_j1vp0aw4,202
2418,2005_1,2005_1_l7qeej0e,49
2419,2005_1,2005_1_dnwjr810,183
2420,2005_1,2005_1_ftlo84zy,293
2421,2005_1,2005_1_t6izr0ng,329
2422,2005_1,2005_1_5aatyqyi,167
2423,2005_1,2005_1_e322xzey,321
2424,2005_1,2005_1_ox7iwjye,233
2425,2005_1,2005_1_8wiwzbqm,93
2426,2005_1,2005_1_rxp7dcpv,261
2427,2005_1,2005_1_dkfokotp,212
2428,2005_1,2005_1_q8iagdtd,270
2429,2005_1,2005_1_0j6ksa8l,51
2430,2005_1,2005_1_gf0sutwd,291
2431,2005_1,2005_1_c7j2ghzm,275
2432,2005_1,2005_1_ogkz7u6x,50
2433,2005_1,2005_1_j4iyouw2,1
2434,2005_1,2005_1_p28d68iy,43
2435,2005_1,2005_1_peb98vaz,273
2436,2005_1,2005_1_092yqc53,218
2437,2005_1,2005_1_3qlqzfdl,256
2438,2005_1,2005_1_ut7wintg,38
2439,2005_1,2005_1_xjzza1zj,296
2440,2005_1,2005_1_ndfdgya0,162
2441,2005_1,2005_1_v8q9tjn6,284
2442,2005_1,2005_1_0jr2nehj,349
2443,2005_1,2005_1_m5bkxadw,158
2444,2005_1,2005_1_vun1komw,67
2445,2005_1,2005_1_1pakxt9h,308
2446,2005_1,2005_1_ure9gdsy,239
2447,2005_1,2005_1_uycwq4n1,336
2448,2005_1,2005_1_ynuz0g5f,96
2449,2005_1,2005_1_h4gpybvg,155
2450,2005_1,2005_1_0sj65rsi,333
2451,2005_1,2005_1_obha3mly,172
2452,2005_1,2005_1_sjem5k4c,344
2453,2005_1,2005_1_dcstrwmy,80
2454,2005_1,2005_1_yly1tkv0,198
2455,2005_1,2005_1_2xkl17re,221
2456,2005_1,2005_1_re7b09u9,330
2457,2005_1,2005_1_4z2fj2x2,184
2458,2005_1,2005_1_i3p9nnoj,131
2459,2005_1,2005_1_t3ioopbe,168
2460,2005_1,2005_1_mf6tuedf,188
2461,2005_1,2005_1_d2p8p6wc,28
2462,2005_1,2005_1_ew7jvbs3,345
2463,2005_1,2005_1_gsttj2cw,116
2464,2005_1,2005_1_1gtfjlsn,309
2465,2005_1,2005_1_xklpllqx,262
2466,2005_1,2005_1_d7s7n019,62
2467,2005_1,2005_1_j5njejuu,133
2468,2005_1,2005_1_gzsmiwvd,4
2469,2005_1,2005_1_7pbigigj,310
2470,2005_1,2005_1_sgr0ms9a,163
2471,2005_1,2005_1_4n4g3j9t,340
2472,2005_1,2005_1_lz4w11g3,292
2473,2005_1,2005_1_gxc6xpez,335
2474,2005_1,2005_1_ylfs7jt1,120
2475,2005_1,2005_1_b7ij4hi1,25
2476,2005_1,2005_1_wh3t682h,13
2477,2005_1,2005_1_ffvt7q6f,192
2478,2005_1,2005_1_jy3avdor,219
2479,2005_1,2005_1_f0zh3ag6,238
2480,2005_1,2005_1_hr50hwhw,361
2481,2005_1,2005_1_fevr40ou,289
2482,2005_1,2005_1_o0qohobz,280
2483,2005_1,2005_1_1g93875u,216
2484,2005_1,2005_1_yw2zjd0h,363
2485,2005_1,2005_1_pnty4yem,152
2486,2005_1,2005_1_4pl4tct8,300
2487,2005_1,2005_1_gtyjdxjg,272
2488,2005_1,2005_1_smxb1igd,217
2489,2005_1,2005_1_jclllbto,76
2490,2005_1,2005_1_ig1c87k9,6
2491,2005_1,2005_1_y2m04vj3,228
2492,2005_1,2005_1_3k4e14rd,356
2493,2005_1,2005_1_0oyxclob,251
2494,2005_1,2005_1_9tbtvfl7,22
2495,2005_1,2005_1_8tb28lk1,260
2496,2005_1,2005_1_q12qfmfb,147
2497,2005_1,2005_1_n14fdu4c,160
2498,2005_1,2005_1_p3t6atcx,149
2499,2005_1,2005_1_feqis89f,35
2500,2005_1,2005_1_cceiqwsa,185
2501,2005_1,2005_1_86inq5na,65
2502,2005_1,2005_1_yimxxx5y,61
2503,2005_1,2005_1_rd2zj117,210
2504,2005_1,2005_1_8q96ox6k,220
2505,2005_1,2005_1_c1x1yp0z,277
2506,2005_1,2005_1_os8lthrf,211
2507,2005_1,2005_1_e3aa3a73,164
2508,2005_1,2005_1_qrukicaa,313
2509,2005_1,2005_1_19hpbnxr,279
2510,2005_1,2005_1_wim2bwvt,223
2511,2005_1,2005_1_c22011ht,196
2512,2005_1,2005_1_j0ef23tc,137
2513,2005_1,2005_1_ckdjcdwv,135
2514,2005_1,2005_1_9rj34e2f,9
2515,2005_1,2005_1_cfwbdjcl,249
2516,2005_1,2005_1_2egltiji,359
2517,2005_1,2005_1_8g44ribn,229
2518,2005_1,2005_1_b4c9mgz1,34
2519,2005_1,2005_1_8acx94x2,178
2520,2005_1,2005_1_9s3glclf,364
2521,2005_1,2005_1_ugl2mxa3,347
2522,2005_1,2005_1_bucgrcms,352
2523,2005_1,2005_1_yzuyb7br,255
2524,2005_1,2005_1_tcvlc4pv,32
2525,2005_1,2005_1_1liohzqs,235
2526,2005_1,2005_1_muq5vfhb,114
2527,2005_1,2005_1_3sgjaw99,323
2528,2005_1,2005_1_szjcvo02,127
2529,2005_1,2005_1_2vvw8lkl,294
2530,2005_1,2005_1_cdxq6e1k,39
2531,2005_1,2005_1_f6gev421,203
2532,2005_1,2005_1_jnd4cs8i,269
2533,2005_1,2005_1_b53mo1wa,26
2534,2005_1,2005_1_moshw2q8,29
2535,2005_1,2005_1_imn168o2,343
2536,2005_1,2005_1_luyki1ye,187
2537,2005_1,2005_1_bv5lxn5k,195
2538,2005_1,2005_1_ufuf3djb,122
2539,2005_1,2005_1_n4fcrhxg,98
2540,2005_1,2005_1_eurojceo,36
2541,2005_1,2005_1_t9ye5leu,7
2542,2005_1,2005_1_3nzzxszc,99
2543,2005_1,2005_1_91d06zzi,206
2544,2005_1,2005_1_xybqpcj4,142
2545,2005_1,2005_1_n75vl5g7,88
2546,2005_1,2005_1_lcv1lw4i,60
2547,2005_1,2005_1_umzjn3qb,8
2548,2005_1,2005_1_85pjzmyl,227
2549,2005_1,2005_1_ewmmuiak,282
2550,2005_1,2005_1_2rpfjjtl,171
2551,2005_1,2005_1_pr1s9dz0,338
2552,2005_1,2005_1_qb480v5c,337
2553,2005_1,2005_1_xpm9qj53,89
2554,2005_1,2005_1_uta00k7p,311
2555,2005_1,2005_1_8l7qru21,186
2556,2005_1,2005_1_climkun2,298
2557,2005_1,2005_1_abwhn583,258
2558,2005_1,2005_1_zv1edp0x,312
2559,2005_1,2005_1_63vt1rx4,46
2560,2005_1,2005_1_adekphqa,150
2561,2005_1,2005_1_30lltdd5,128
2562,2005_1,2005_1_a547sl97,181
2563,2005_1,2005_1_a34sww71,134
2564,2005_1,2005_1_35yyy9ui,318
2565,2005_1,2005_1_drb2k15k,326
2566,2005_1,2005_1_aow0b57m,266
2567,2005_1,2005_1_alo1blne,297
2568,2005_1,2005_1_ndgwsjgo,31
2569,2005_1,2005_1_yfsuptu8,234
2570,2005_1,2005_1_ib0ph1lb,72
2571,2005_1,2005_1_ua7gb4bo,314
2572,2005_1,2005_1_e4hygccp,33
2573,2005_1,2005_1_jcwsb5tb,252
2574,2005_1,2005_1_hs4ohily,354
2575,2005_1,2005_1_n1uc6nak,109
2576,2005_1,2005_1_mxpr270w,47
2577,2005_1,2005_1_ow6t3g0s,242
2578,2005_1,2005_1_kncrbuz6,136
2579,2005_1,2005_1_6ziphnm5,70
2580,2005_1,2005_1_a91z03sq,161
2581,2005_1,2005_1_4ql9yqrn,16
2582,2005_1,2005_1_weufm3t5,271
2583,2005_1,2005_1_pj393gnx,369
2584,2005_1,2005_1_emc53g2i,176
2585,2005_1,2005_1_68bip5or,193
2586,2005_1,2005_1_09i72o25,208
2587,2005_1,2005_1_50ss9bm0,101
2588,2005_1,2005_1_hdzjv1fv,105
2589,2005_1,2005_1_3aj43cbk,82
2590,2005_1,2005_1_t496qdj4,112
2591,2005_1,2005_1_o98cqvwn,305
2592,2005_1,2005_1_99esra0m,30
2593,2005_1,2005_1_5dwnafyb,21
2594,2005_1,2005_1_8ggu0333,319
2595,2005_1,2005_1_vn5byafj,307
2596,2005_1,2005_1_38qoqdov,224
2597,2005_1,2005_1_ekcxwl8s,48
2598,2005_1,2005_1_zvav6efw,126
2599,2005_1,2005_1_hmkvntev,205
2600,2005_1,2005_1_u0zycrom,138
2601,2005_1,2005_1_o0nij74n,286
2602,2005_1,2005_1_3zaf95xl,325
2603,2005_1,2005_1_s41xmp14,315
2604,2005_2,2005_2_m7jsm6xg,276
2605,2005_2,2005_2_px32x3oj,345
2606,2005_2,2005_2_2x24pakp,29
2607,2005_2,2005_2_cd9cd5e7,310
2608,2005_2,2005_2_aa0jwf0k,19
2609,2005_2,2005_2_7e3818y2,195
2610,2005_2,2005_2_mff3j8wz,215
2611,2005_2,2005_2_tjh7ic8d,348
2612,2005_2,2005_2_v4x98h7r,326
2613,2005_2,2005_2_5zjfzm1g,230
2614,2005_2,2005_2_409f2rg3,166
2615,2005_2,2005_2_xnziojfw,55
2616,2005_2,2005_2_37lere5o,200
2617,2005_2,2005_2_tv8owahh,262
2618,2005_2,2005_2_khazmktd,204
2619,2005_2,2005_2_aefap4yp,295
2620,2005_2,2005_2_8t8v1shq,218
2621,2005_2,2005_2_gg17qcxz,87
2622,2005_2,2005_2_lqpsjhsc,3
2623,2005_2,2005_2_b6nir9xh,129
2624,2005_2,2005_2_xtriiwz2,152
2625,2005_2,2005_2_upsw3u5d,176
2626,2005_2,2005_2_rnrp0jne,347
2627,2005_2,2005_2_7blwnwo5,181
2628,2005_2,2005_2_p2mjn26p,358
2629,2005_2,2005_2_j4l9ax50,11
2630,2005_2,2005_2_m0zhuy25,153
2631,2005_2,2005_2_69h89jvc,35
2632,2005_2,2005_2_bmhz38u2,222
2633,2005_2,2005_2_xum4ppkm,194
2634,2005_2,2005_2_hnpewltk,232
2635,2005_2,2005_2_2rnezx4j,311
2636,2005_2,2005_2_odpiwgnw,156
2637,2005_2,2005_2_zjjctfue,244
2638,2005_2,2005_2_p18tqugj,126
2639,2005_2,2005_2_b7n9zg9n,109
2640,2005_2,2005_2_178xqe0b,139
2641,2005_2,2005_2_szx074n6,306
2642,2005_2,2005_2_laljlms1,279
2643,2005_2,2005_2_mp4o5f8m,31
2644,2005_2,2005_2_mekoyzeb,338
2645,2005_2,2005_2_yzswuxcu,73
2646,2005_2,2005_2_t6gnmryd,269
2647,2005_2,2005_2_abk26ciy,112
2648,2005_2,2005_2_syxa85td,161
2649,2005_2,2005_2_j35x0sxi,315
2650,2005_2,2005_2_gly1040n,286
2651,2005_2,2005_2_dxhnkngn,289
2652,2005_2,2005_2_3dtn415u,39
2653,2005_2,2005_2_bc8g2dr7,354
2654,2005_2,2005_2_cq5ykt8k,301
2655,2005_2,2005_2_hvh6s8rv,336
2656,2005_2,2005_2_p9ycctna,196
2657,2005_2,2005_2_t50b7ita,213
2658,2005_2,2005_2_2egdp1ip,53
2659,2005_2,2005_2_xpvdfonw,37
2660,2005_2,2005_2_7rumyy6y,108
2661,2005_2,2005_2_ryg2stao,359
2662,2005_2,2005_2_qlv7ay15,258
2663,2005_2,2005_2_pxcw18gk,291
2664,2005_2,2005_2_d6lsqdqn,209
2665,2005_2,2005_2_3rpqn31y,21
2666,2005_2,2005_2_hg8u42tz,131
2667,2005_2,2005_2_pbp6aq9g,163
2668,2005_2,2005_2_merim28a,236
2669,2005_2,2005_2_mvihtcd7,193
2670,2005_2,2005_2_60ngfuzi,355
2671,2005_2,2005_2_f8ubj05o,113
2672,2005_2,2005_2_fd7foxxe,145
2673,2005_2,2005_2_na8wisnn,268
2674,2005_2,2005_2_8u38paqd,237
2675,2005_2,2005_2_rkgtmp5e,249
2676,2005_2,2005_2_sil3k999,52
2677,2005_2,2005_2_kauybo1b,78
2678,2005_2,2005_2_87xst478,342
2679,2005_2,2005_2_rjwp4trg,117
2680,2005_2,2005_2_bkxfh22f,49
2681,2005_2,2005_2_c7xg32rb,205
2682,2005_2,2005_2_1wntswkf,85
2683,2005_2,2005_2_odvshfxv,180
2684,2005_2,2005_2_gsl8sm66,16
2685,2005_2,2005_2_aaw2j0zj,327
2686,2005_2,2005_2_ld2m2xl3,134
2687,2005_2,2005_2_4fab8yki,331
2688,2005_2,2005_2_sgks9gjp,101
2689,2005_2,2005_2_q6d14e7l,148
2690,2005_2,2005_2_utpsrz1b,32
2691,2005_2,2005_2_i4xitn3s,318
2692,2005_2,2005_2_19hlvjtq,175
2693,2005_2,2005_2_88tykq3i,177
2694,2005_2,2005_2_y3ecwi7u,94
2695,2005_2,2005_2_3hwuypst,272
2696,2005_2,2005_2_ez1qi9x7,264
2697,2005_2,2005_2_me2kseli,243
2698,2005_2,2005_2_yfenatqf,214
2699,2005_2,2005_2_kg4z3584,274
2700,2005_2,2005_2_li1u2h21,59
2701,2005_2,2005_2_uicavch0,292
2702,2005_2,2005_2_l425winu,7
2703,2005_2,2005_2_fd587ciq,233
2704,2005_2,2005_2_s4t9jn63,65
2705,2005_2,2005_2_36uu211c,80
2706,2005_2,2005_2_7hxoznr8,239
2707,2005_2,2005_2_24zpxhlj,1
2708,2005_2,2005_2_n6vdc9ol,217
2709,2005_2,2005_2_7kvwab7l,28
2710,2005_2,2005_2_dbprouc4,100
2711,2005_2,2005_2_v5obzhw3,360
2712,2005_2,2005_2_jt0ziijx,157
2713,2005_2,2005_2_qdyh3y54,130
2714,2005_2,2005_2_trpr7da1,216
2715,2005_2,2005_2_8mq0f3at,356
2716,2005_2,2005_2_4awhvzkt,189
2717,2005_2,2005_2_k03oiwps,169
2718,2005_2,2005_2_w0psuvqh,155
2719,2005_2,2005_2_pcvhutt8,255
2720,2005_2,2005_2_iddal5kc,44
2721,2005_2,2005_2_o6mwiomi,277
2722,2005_2,2005_2_r73tzda9,250
2723,2005_2,2005_2_o5ahe1on,95
2724,2005_2,2005_2_nuvtzazk,312
2725,2005_2,2005_2_9og4jgnh,220
2726,2005_2,2005_2_coqi1den,282
2727,2005_2,2005_2_862y3x8j,206
2728,2005_2,2005_2_w5oevplv,168
2729,2005_2,2005_2_qwiklbik,93
2730,2005_2,2005_2_imf1ipl6,207
2731,2005_2,2005_2_vny78ejw,63
2732,2005_2,2005_2_e7p8mils,182
2733,2005_2,2005_2_akphhfb0,203
2734,2005_2,2005_2_6qva1tlc,285
2735,2005_2,2005_2_h7q6wqoc,13
2736,2005_2,2005_2_ymhx4q3s,174
2737,2005_2,2005_2_0a1dqufr,125
2738,2005_2,2005_2_gj71kat4,266
2739,2005_2,2005_2_1o0typbw,328
2740,2005_2,2005_2_wyzaydd2,48
2741,2005_2,2005_2_pufrgn5t,162
2742,2005_2,2005_2_eiif2ue4,86
2743,2005_2,2005_2_ig4hb87y,211
2744,2005_2,2005_2_hgcbkxu6,270
2745,2005_2,2005_2_th94q45q,142
2746,2005_2,2005_2_b9ih9r8r,284
2747,2005_2,2005_2_sh8lr0jf,60
2748,2005_2,2005_2_umyoqtyk,352
2749,2005_2,2005_2_viu9kqi2,184
2750,2005_2,2005_2_xhb0gqp3,343
2751,2005_2,2005_2_im7lpedr,303
2752,2005_2,2005_2_3ow08qi6,61
2753,2005_2,2005_2_agyqo7gb,190
2754,2005_2,2005_2_3ruzozpg,329
2755,2005_2,2005_2_k53n4vmg,165
2756,2005_2,2005_2_4hdk4y3a,240
2757,2005_2,2005_2_deswnmqe,33
2758,2005_2,2005_2_9vh4icog,71
